¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ï¤¤µØ¤@¸ô331~360¸¹,88.5,¦í,,,1050323,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤­¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0761211,337.24,5,3,4,¦³,µL,15000000,44479,,0.0,0,,RPVOMLLJOHLFFAE08CA
¹ª¤s°Ï,¤g¦a,¤º±©¬q¤»¤p¬q601~630¦a¸¹,3.0,¦í,,,1050524,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,163350,54450,,0.0,0,,RPPNMLMJOHLFFAE47CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ïª÷¤tµó1~30¸¹,145.0,¦í,,,1050425,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤­¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020304,388.21,6,2,8,¦³,µL,31000000,79854,,0.0,0,,RPSNMLMJOHLFFAE77CA
«eª÷°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥««eª÷°Ï¤¤¥¿¥|¸ô211~240¸¹,18.88,°Ó,,,1050412,¤g¦a2«Øª«1¨®¦ì0,¤»¼h,¤G¤Q¤­¼h,¿ì¤½°Ó·~¤j¼Ó,°Ó·~¥Î,¿û°©²V¾®¤g³y,0841122,337.8,0,0,0,µL,¦³,14200000,42037,,0.0,0,,RPPOMLMJOHLFFAE57CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ï¬ü³NÀ]¸ô241~270¸¹,23.37,¦í,,,1050514,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0940819,181.7,4,2,2,¦³,¦³,11250000,61915,,0.0,0,,RPXOMLMJOHLFFAE38CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°ÏÀs³Ó¸ô121~150¸¹,11.03,¦í,,,1050512,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950809,106.23,2,1,1,¦³,¦³,6330000,59588,©Y¹D¾÷±ñ,0.0,0,,RPOPMLMJOHLFFAE57CA
¹ª¤s°Ï,¤g¦a,ÀsµØ¬q¤T¤p¬q661~690¦a¸¹,189.0,¹A,,,1041223,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6000000,31746,,0.0,0,,RPPNMLNJOHLFFAE57CA
ÆQÑL°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«ÆQÑL°Ï©²¥_¸ô1~30¸¹,3.19,¦í,,,1050504,¤g¦a3«Øª«1¨®¦ì0,¤»¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),,¿ûµ¬²V¾®¤g³y,0681218,29.81,1,1,1,¦³,¦³,800000,26837,,0.0,0,,RPTOMLNJOHLFFAE08CA
«eª÷°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥««eª÷°Ïªø¥Íµó1~30¸¹,24.63,°Ó,,,1050429,¤g¦a1«Øª«1¨®¦ì2,¤G¼h,¤Q¤E¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030930,365.98,4,2,2,¦³,¦³,19950000,62129,©Y¹D¥­­±,64.19,1200000,,RPTNMLPJOHLFFAE18CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°ÏÀs³Ó¸ô91~120¸¹,12.51,°Ó,,,1050501,¤g¦a1«Øª«1¨®¦ì1,¤Q¤T¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950126,127.83000000000001,1,2,2,¦³,¦³,7000000,54760,©Y¹D¾÷±ñ,5.61,0,,RPWNMLQJOHLFFAE58CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ï¬ü³NªF¤»µó61~90¸¹,10.99,¦í,,,1050506,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0930805,80.37,2,1,1,¦³,¦³,5200000,64701,,0.0,0,,RPUOMLSJOHLFFAE68CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ï¥Á±dµó181~210¸¹,71.5,¦í,,,1050510,¤g¦a4«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0760626,128.75,5,2,3,¦³,µL,8400000,65243,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPVPMLSJOHLFFAE88CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°Ï¬ü³N¥_¤­µó31~60¸¹,13.45,¦í,,,1050430,¤g¦a1«Øª«1¨®¦ì1,¤Q¤@¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0920814,90.18,2,2,1,¦³,¦³,5500000,60989,©Y¹D¾÷±ñ,0.0,0,,RPQOMLOKOHLFFAE97CA
